question,answer_0,answer_1
In which Asian country is the resort of Pattaya?,Pattaya is in Thailand. [1],"Pattaya City is in Thailand [1, 2]."
What lifted the capsule that Felix Baumgartner rode some 24 miles into the stratosphere before his historic jump this week?,"Baumgartner's custom-built capsule was lifted to the very edges of space in the earth's stratosphere by an attached helium balloon. [1] It took the balloon 90 minutes to get to 90,000 feet, where Baumgartner jumped from. [1, 2]",The capsule that Felix Baumgartner rode to the stratosphere was lifted by a giant helium balloon. [1]
"Which fashion designer, born 1940 in Chatham, Kent, is well known for her pink hair?","Born in Chatham, Kent, U.K., fashion designer Zandra Rhodes is well known for her pink hair. [1, 2]","Zandra Rhodes, born in Chatham, Kent in 1940, is a British fashion designer who is well known for her pink hair. [1][2][3]"
VVhich Pulitzer prize winning author and journalist was present at both the Normandy landings and the liberation of Paris?,"Rick Atkinson, who is best known for his Pulitzer Prize-winning book An Army at Dawn, is the author of the Liberation Trilogy, which covers the landings at Normandy and the liberation of Paris. [1, 2, 3]","The Normandy landings were the landing operations and associated airborne operations on Tuesday, June 6, 1944 of the Allied invasion of Normandy in Operation Overlord during World War II. The operation began the liberation of France and laid the foundations of the Allied victory on the Western Front. [1]"
Which state of America is nicknamed 'The Beehive State'?,"The state of Utah is known as the ""Beehive State"". [1][2][3]","The state of Utah is titled ""The Beehive State."" [1,2,3]"
What does the musical term forte mean,"A forte in music is a dynamic directive that means to perform the indicated passage of music loudly [1,2].","The term forte means ""loud"" or ""strong"" in music [1,2,3]. It is usually notated by the letter ""f"" [3]. The opposite of forte is piano which means ""quiet"" [1,2,3]"
James Stewart played the character Elwood P. Dowd in which classic 1950 film ?,James Stewart played Elwood P. Dowd in the film Harvey [1].,"The stage play ""Harvey"" was made into a movie in 1950, and the main character's name in the play and movie is Elwood P. Dowd [1, 2]."
How many countries now form the European Union?,"The European Union was founded on the premise of economic cooperation between several countries. In 1951, only Belgium, Germany, France, Italy, Luxembourg, and the Netherlands participated [1, 2]. Over time, more countries decided to join [2]. The United Kingdom withdrew from the European Union on January 31, 2020 [1, 2]. The EU currently consists of 27 member countries [2, 3].","The European Union consists of 27 member states [1]. This number includes the United Kingdom, which withdrew from the EU on January 31, 2020 [2]."
What type of creature is a canvasback?,"The canvasback is a species of diving duck, the largest in North America [1, 2]. Distinguished by their large body and sloping profile, they have a white body and a black chest and head [1]. The drake, or male, has a rusty-brown head [1]. Canvasback ducks were once on the verge of extinction due to hunting and development of their habitats, but have made a comeback along with many other waterfowl species [3].","The canvasback is a type of wild duck found in North America. [1]  It is easily distinguished by its large body size and sloping profile.  [2]  The adult male drake is white-bellied, with a grey-back and a black chest. [1][2][3] The adult female is similar, but lighter in color with a light brown back and reddish-brown head. [1]  Young of both sexes resemble the adult females, but will begin to resemble adult males by November, and have fully grown plumage by February. [1]  The Canvasback is known for its distinguished look and large body size. [3]"
"The USA entered World War I because Germany attempted to enlist Mexico as an ally, and for what other reason?","The USA entered World War I because Germany attempted to enlist Mexico as an ally, and for the Zimmerman Telegram [1,2,3].","The United States entered World War I because of Germany's use of submarine warfare against ships in the Atlantic Ocean,, which was hurting American exports to Europe.  [1][2] Additionally, Germany tried to enlist Mexico as an ally against the United States, an event which convinced American businessmen and industrialists that the United States should enter the war. [1][2]"
